date,price,shares,investment,position,portfolio_value,type,stop_loss,take_profit
2022-05-24 04:00:00+00:00,7.55,2368,17878.399999999998,2368,100000.0,buy,5.952914285714286,9.945628571428571
2022-06-10 04:00:00+00:00,8.26,-2368,-19559.68,0,101681.28,sell,,
2022-06-17 04:00:00+00:00,8.24,2306,19001.44,2306,101681.28,buy,7.158785714285715,9.861821428571428
2022-06-24 04:00:00+00:00,10.19,-2306,-23498.14,0,106177.98,sell,,
2022-07-06 04:00:00+00:00,9.8,2024,19835.2,2024,106177.98,buy,8.510071428571429,11.734892857142858
2022-07-14 04:00:00+00:00,8.9,-2024,-18013.600000000002,0,104356.38,sell,,
2022-07-21 04:00:00+00:00,10.49,1876,19679.24,1876,104356.38,buy,9.302228571428572,12.271657142857142
2022-08-03 04:00:00+00:00,11.2,-1876,-21011.199999999997,0,105688.34,sell,,
2022-08-08 04:00:00+00:00,9.82,2005,19689.100000000002,2005,105688.34,buy,8.483085714285716,11.825371428571428
2022-08-09 04:00:00+00:00,9.25,-2005,-18546.25,0,104545.48999999999,sell,,
2022-08-22 04:00:00+00:00,8.07,2396,19335.72,2396,104545.48999999999,buy,6.855714285714286,9.891428571428573
2022-09-01 04:00:00+00:00,7.49,-2396,-17946.04,0,103155.81,sell,,
2022-09-15 04:00:00+00:00,8.01,2460,19704.6,2460,103155.81,buy,7.296671428571428,9.079992857142857
2022-10-14 04:00:00+00:00,7.53,-2460,-18523.8,0,101975.01,sell,,
2022-12-13 05:00:00+00:00,7.5,2592,19440.0,2592,101975.01,buy,6.8025,8.54625
2022-12-16 05:00:00+00:00,6.9,-2592,-17884.8,0,100419.81,sell,,
2022-12-20 05:00:00+00:00,6.31,2990,18866.899999999998,2990,100419.81,buy,5.547142857142857,7.454285714285714
2022-12-21 05:00:00+00:00,6.5,-2990,-19435.0,0,100987.91,sell,,
2023-01-25 05:00:00+00:00,7.22,2596,18743.12,2596,100987.91,buy,6.1801571428571425,8.779764285714286
2023-01-27 05:00:00+00:00,7.55,-2596,-19599.8,0,101844.59000000001,sell,,
2023-02-03 05:00:00+00:00,8.41,2232,18771.12,2232,101844.59000000001,buy,7.096357142857142,10.380464285714286
2023-02-13 05:00:00+00:00,7.61,-2232,-16985.52,0,100058.99000000002,sell,,
2023-02-16 05:00:00+00:00,9.71,1928,18720.88,1928,100058.99000000002,buy,8.462642857142857,11.581035714285717
2023-02-22 05:00:00+00:00,8.36,-1928,-16118.079999999998,0,97456.19000000002,sell,,
2023-04-05 04:00:00+00:00,7.98,2331,18601.38,2331,97456.19000000002,buy,7.2578571428571435,9.063214285714285
2023-04-11 04:00:00+00:00,8.61,-2331,-20069.91,0,98924.72000000002,sell,,
2023-05-12 04:00:00+00:00,9.5,1976,18772.0,1976,98924.72000000002,buy,8.527985714285714,10.958021428571428
2023-05-18 04:00:00+00:00,11.74,-1976,-23198.24,0,103350.96000000002,sell,,
2023-08-02 04:00:00+00:00,18.97,1022,19387.34,1022,103350.96000000002,buy,16.620014285714284,22.49497857142857
2023-08-08 04:00:00+00:00,17.04,-1022,-17414.879999999997,0,101378.50000000003,sell,,
2023-08-31 04:00:00+00:00,14.98,1268,18994.64,1268,101378.50000000003,buy,13.106442857142858,17.790335714285717
2023-09-21 04:00:00+00:00,14.0,-1268,-17752.0,0,100135.86000000003,sell,,
2023-09-28 04:00:00+00:00,15.77,1214,19144.78,1214,100135.86000000003,buy,14.396985714285714,17.82952142857143
2023-10-03 04:00:00+00:00,14.9,-1214,-18088.600000000002,0,99079.68000000004,sell,,
2023-10-06 04:00:00+00:00,16.61,1136,18868.96,1136,99079.68000000002,buy,15.034785714285713,18.97282142857143
2023-10-09 04:00:00+00:00,17.61,-1136,-20004.96,0,100215.68000000002,sell,,
2023-11-03 04:00:00+00:00,18.89,1001,18908.89,1001,100215.68000000002,buy,16.775885714285717,22.061171428571427
2023-11-14 05:00:00+00:00,19.94,-1001,-19959.940000000002,0,101266.73000000003,sell,,
2024-01-05 05:00:00+00:00,15.98,1221,19511.58,1221,101266.73000000003,buy,14.81127142857143,17.733092857142857
2024-01-25 05:00:00+00:00,16.46,-1221,-20097.66,0,101852.81000000003,sell,,
2024-02-02 05:00:00+00:00,17.02,1147,19521.94,1147,101852.81000000003,buy,15.624699999999999,19.112949999999998
2024-02-06 05:00:00+00:00,21.87,-1147,-25084.89,0,107415.76000000002,sell,,
