date,portfolio_value
2022-03-01 05:00:00+00:00,100000.0
2022-03-02 05:00:00+00:00,99990.16
2022-03-03 05:00:00+00:00,99931.12000000001
2022-03-04 05:00:00+00:00,99899.96
2022-03-07 05:00:00+00:00,99912.26000000001
2022-03-08 05:00:00+00:00,99906.52
2022-03-09 05:00:00+00:00,100011.44
2022-03-10 05:00:00+00:00,100049.28
2022-03-11 05:00:00+00:00,99966.72
2022-03-14 04:00:00+00:00,99813.64
2022-03-15 04:00:00+00:00,99860.08
2022-03-16 04:00:00+00:00,100035.52
2022-03-17 04:00:00+00:00,100171.2
2022-03-18 04:00:00+00:00,100299.2
2022-03-21 04:00:00+00:00,100240.31999999999
2022-03-22 04:00:00+00:00,100414.4
2022-03-23 04:00:00+00:00,100391.36
2022-03-24 04:00:00+00:00,100460.87
2022-03-25 04:00:00+00:00,100321.85
2022-03-28 04:00:00+00:00,100470.8
2022-03-29 04:00:00+00:00,100728.98
2022-03-30 04:00:00+00:00,100623.06
2022-03-31 04:00:00+00:00,100562.61
2022-04-01 04:00:00+00:00,100602.91
2022-04-04 04:00:00+00:00,100925.31
2022-04-05 04:00:00+00:00,100627.09
2022-04-06 04:00:00+00:00,100268.42
2022-04-07 04:00:00+00:00,100191.78
2022-04-08 04:00:00+00:00,100124.72
2022-04-11 04:00:00+00:00,100105.56
2022-04-12 04:00:00+00:00,100009.76
2022-04-13 04:00:00+00:00,100220.51999999999
2022-04-14 04:00:00+00:00,99953.64
2022-04-18 04:00:00+00:00,99803.51999999999
2022-04-19 04:00:00+00:00,100226.08
2022-04-20 04:00:00+00:00,100159.36
2022-04-21 04:00:00+00:00,99867.72
2022-04-22 04:00:00+00:00,99633.14
2022-04-25 04:00:00+00:00,99728.24
2022-04-26 04:00:00+00:00,99100.58
2022-04-27 04:00:00+00:00,98745.54000000001
2022-04-28 04:00:00+00:00,99029.46
2022-04-29 04:00:00+00:00,98629.06
2022-05-02 04:00:00+00:00,98876.58
2022-05-03 04:00:00+00:00,98738.26
2022-05-04 04:00:00+00:00,99051.3
2022-05-05 04:00:00+00:00,98346.96
2022-05-06 04:00:00+00:00,97822.8
2022-05-09 04:00:00+00:00,96168.42000000001
2022-05-10 04:00:00+00:00,96029.19
2022-05-11 04:00:00+00:00,95554.17000000001
2022-05-12 04:00:00+00:00,96164.01000000001
2022-05-13 04:00:00+00:00,97132.01000000001
2022-05-16 04:00:00+00:00,96841.61000000002
2022-05-17 04:00:00+00:00,97151.37000000001
2022-05-18 04:00:00+00:00,96812.57
2022-05-19 04:00:00+00:00,97140.17000000001
2022-05-20 04:00:00+00:00,96889.01000000001
2022-05-23 04:00:00+00:00,96812.57
2022-05-24 04:00:00+00:00,96310.25000000001
2022-05-25 04:00:00+00:00,96757.97
2022-05-26 04:00:00+00:00,97244.77
2022-05-27 04:00:00+00:00,97841.1
2022-05-31 04:00:00+00:00,97634.21
2022-06-01 04:00:00+00:00,97366.47000000002
2022-06-02 04:00:00+00:00,98487.87000000001
2022-06-03 04:00:00+00:00,98007.27
2022-06-06 04:00:00+00:00,98060.67000000001
2022-06-07 04:00:00+00:00,98260.92000000001
2022-06-08 04:00:00+00:00,98327.67000000001
2022-06-09 04:00:00+00:00,97606.17000000001
2022-06-10 04:00:00+00:00,97000.11000000002
2022-06-13 04:00:00+00:00,96105.45000000001
2022-06-14 04:00:00+00:00,96365.19
2022-06-15 04:00:00+00:00,96798.09000000001
2022-06-16 04:00:00+00:00,96093.39000000001
2022-06-17 04:00:00+00:00,96986.01000000001
2022-06-21 04:00:00+00:00,97722.03000000001
2022-06-22 04:00:00+00:00,98191.83
2022-06-23 04:00:00+00:00,98946.03000000001
2022-06-24 04:00:00+00:00,100169.51000000001
2022-06-27 04:00:00+00:00,99214.19
2022-06-28 04:00:00+00:00,98694.63
2022-06-29 04:00:00+00:00,98560.55000000002
2022-06-30 04:00:00+00:00,98275.11000000002
2022-07-01 04:00:00+00:00,98631.91
2022-07-05 04:00:00+00:00,100059.11000000002
2022-07-06 04:00:00+00:00,99577.43000000001
2022-07-07 04:00:00+00:00,100294.11
2022-07-08 04:00:00+00:00,100275.25
2022-07-11 04:00:00+00:00,99124.79000000001
2022-07-12 04:00:00+00:00,98992.77
2022-07-13 04:00:00+00:00,98596.70999999999
2022-07-14 04:00:00+00:00,97839.37
2022-07-15 04:00:00+00:00,98118.39
2022-07-18 04:00:00+00:00,98098.45999999999
2022-07-19 04:00:00+00:00,98716.29
2022-07-20 04:00:00+00:00,100250.9
2022-07-21 04:00:00+00:00,101045.48
2022-07-22 04:00:00+00:00,99686.33
2022-07-25 04:00:00+00:00,99351.77
2022-07-26 04:00:00+00:00,98766.29000000001
2022-07-27 04:00:00+00:00,100062.71
2022-07-28 04:00:00+00:00,100303.61
2022-07-29 04:00:00+00:00,100785.41
2022-08-01 04:00:00+00:00,101048.21
2022-08-02 04:00:00+00:00,102033.71
2022-08-03 04:00:00+00:00,102646.91
2022-08-04 04:00:00+00:00,102920.39
2022-08-05 04:00:00+00:00,103216.66
2022-08-08 04:00:00+00:00,99501.89
2022-08-09 04:00:00+00:00,98202.86
2022-08-10 04:00:00+00:00,98977.72
2022-08-11 04:00:00+00:00,98572.61
2022-08-12 04:00:00+00:00,99740.28
2022-08-15 04:00:00+00:00,99740.28
2022-08-16 04:00:00+00:00,99335.17
2022-08-17 04:00:00+00:00,98596.44
2022-08-18 04:00:00+00:00,97899.52
2022-08-19 04:00:00+00:00,96306.56
2022-08-22 04:00:00+00:00,95211.4
2022-08-23 04:00:00+00:00,95062.06
2022-08-24 04:00:00+00:00,95286.06999999999
2022-08-25 04:00:00+00:00,96121.91
2022-08-26 04:00:00+00:00,94868.15
2022-08-29 04:00:00+00:00,94528.59
2022-08-30 04:00:00+00:00,94476.34999999999
2022-08-31 04:00:00+00:00,94293.51
2022-09-01 04:00:00+00:00,93663.07999999999
2022-09-02 04:00:00+00:00,93416.38999999998
2022-09-06 04:00:00+00:00,93087.46999999999
2022-09-07 04:00:00+00:00,93388.98
2022-09-08 04:00:00+00:00,93791.62
2022-09-09 04:00:00+00:00,94539.38
2022-09-12 04:00:00+00:00,95172.09999999999
2022-09-13 04:00:00+00:00,93647.81999999999
2022-09-14 04:00:00+00:00,94079.22
2022-09-15 04:00:00+00:00,95221.88
2022-09-16 04:00:00+00:00,94530.26999999999
2022-09-19 04:00:00+00:00,94770.83
2022-09-20 04:00:00+00:00,94049.15
2022-09-21 04:00:00+00:00,94259.64
2022-09-22 04:00:00+00:00,93255.8
2022-09-23 04:00:00+00:00,93349.91
2022-09-26 04:00:00+00:00,93757.72
2022-09-27 04:00:00+00:00,94071.42
2022-09-28 04:00:00+00:00,95043.89
2022-09-29 04:00:00+00:00,95500.57
2022-09-30 04:00:00+00:00,95663.67
2022-10-03 04:00:00+00:00,96022.49
2022-10-04 04:00:00+00:00,96740.13
2022-10-05 04:00:00+00:00,96609.65
2022-10-06 04:00:00+00:00,96778.65000000001
2022-10-07 04:00:00+00:00,95697.05
2022-10-10 04:00:00+00:00,95392.85
2022-10-11 04:00:00+00:00,95325.25
2022-10-12 04:00:00+00:00,95426.65000000001
2022-10-13 04:00:00+00:00,95461.68000000001
2022-10-14 04:00:00+00:00,93535.03
2022-10-17 04:00:00+00:00,94971.26000000001
2022-10-18 04:00:00+00:00,95741.92
2022-10-19 04:00:00+00:00,94866.17
2022-10-20 04:00:00+00:00,95337.94
2022-10-21 04:00:00+00:00,96245.19
2022-10-24 04:00:00+00:00,96172.61
2022-10-25 04:00:00+00:00,97587.92
2022-10-26 04:00:00+00:00,97261.31
2022-10-27 04:00:00+00:00,97373.66
2022-10-28 04:00:00+00:00,97523.45999999999
2022-10-31 04:00:00+00:00,98085.20999999999
2022-11-01 04:00:00+00:00,97560.91
2022-11-02 04:00:00+00:00,95950.56
2022-11-03 04:00:00+00:00,95409.31999999999
2022-11-04 04:00:00+00:00,94829.41999999998
2022-11-07 05:00:00+00:00,91311.35999999999
2022-11-08 05:00:00+00:00,92045.9
2022-11-09 05:00:00+00:00,91156.72
2022-11-10 05:00:00+00:00,93802.65999999999
2022-11-11 05:00:00+00:00,96889.59
2022-11-14 05:00:00+00:00,95646.79999999999
2022-11-15 05:00:00+00:00,96608.95999999999
2022-11-16 05:00:00+00:00,95486.44
2022-11-17 05:00:00+00:00,93667.91999999998
2022-11-18 05:00:00+00:00,92717.32999999999
2022-11-21 05:00:00+00:00,91890.73
2022-11-22 05:00:00+00:00,92014.71999999999
2022-11-23 05:00:00+00:00,92634.67
2022-11-25 05:00:00+00:00,92250.54999999999
2022-11-28 05:00:00+00:00,91738.39
2022-11-29 05:00:00+00:00,91396.95
2022-11-30 05:00:00+00:00,93189.51
2022-12-01 05:00:00+00:00,94773.87
2022-12-02 05:00:00+00:00,93893.67
2022-12-05 05:00:00+00:00,91825.2
2022-12-06 05:00:00+00:00,90945.0
2022-12-07 05:00:00+00:00,91297.07999999999
2022-12-08 05:00:00+00:00,91524.18
2022-12-09 05:00:00+00:00,91478.76
2022-12-12 05:00:00+00:00,92296.31999999999
2022-12-13 05:00:00+00:00,93250.13999999998
2022-12-14 05:00:00+00:00,92568.84
2022-12-15 05:00:00+00:00,90978.31999999999
2022-12-16 05:00:00+00:00,90463.73999999999
2022-12-19 05:00:00+00:00,87890.84
2022-12-20 05:00:00+00:00,87703.71999999999
2022-12-21 05:00:00+00:00,88592.54
2022-12-22 05:00:00+00:00,87722.95999999999
2022-12-23 05:00:00+00:00,87578.03
2022-12-27 05:00:00+00:00,86177.04
2022-12-28 05:00:00+00:00,86515.20999999999
2022-12-29 05:00:00+00:00,88163.56
2022-12-30 05:00:00+00:00,88263.45999999999
2023-01-03 05:00:00+00:00,88113.60999999999
2023-01-04 05:00:00+00:00,89062.65999999999
2023-01-05 05:00:00+00:00,87724.69999999998
2023-01-06 05:00:00+00:00,88136.37999999999
2023-01-09 05:00:00+00:00,88650.97999999998
2023-01-10 05:00:00+00:00,89680.18
2023-01-11 05:00:00+00:00,91121.06
2023-01-12 05:00:00+00:00,91279.72999999998
2023-01-13 05:00:00+00:00,91015.28
2023-01-17 05:00:00+00:00,91597.06999999999
2023-01-18 05:00:00+00:00,90697.94
2023-01-19 05:00:00+00:00,89774.32999999999
2023-01-20 05:00:00+00:00,91349.9
2023-01-23 05:00:00+00:00,93305.78
2023-01-24 05:00:00+00:00,91349.9
2023-01-25 05:00:00+00:00,92436.49999999999
2023-01-26 05:00:00+00:00,92547.91999999998
2023-01-27 05:00:00+00:00,94274.93
2023-01-30 05:00:00+00:00,93272.15
2023-01-31 05:00:00+00:00,95556.26
2023-02-01 05:00:00+00:00,97896.07999999999
2023-02-02 05:00:00+00:00,102392.76
2023-02-03 05:00:00+00:00,99091.4
2023-02-06 05:00:00+00:00,98522.2
2023-02-07 05:00:00+00:00,98636.04
2023-02-08 05:00:00+00:00,98009.91999999998
2023-02-09 05:00:00+00:00,96440.40999999999
2023-02-10 05:00:00+00:00,93882.68999999999
2023-02-13 05:00:00+00:00,94463.98999999999
2023-02-14 05:00:00+00:00,103822.91999999998
2023-02-15 05:00:00+00:00,108996.48999999999
2023-02-16 05:00:00+00:00,106632.09
2023-02-17 05:00:00+00:00,103617.47999999998
2023-02-21 05:00:00+00:00,99302.45
2023-02-22 05:00:00+00:00,98652.23999999999
2023-02-23 05:00:00+00:00,97506.54
2023-02-24 05:00:00+00:00,97024.13999999998
2023-02-27 05:00:00+00:00,96662.34
2023-02-28 05:00:00+00:00,95516.63999999998
2023-03-01 05:00:00+00:00,94612.14
