date,price,shares,investment,position,portfolio_value,type
2022-08-02 04:00:00+00:00,408.06,49,19994.94,49,100000.0,buy
2022-09-16 04:00:00+00:00,385.56,-49,-18892.44,0,98897.5,sell
2022-11-11 05:00:00+00:00,398.51,49,19526.989999999998,49,98897.5,buy
2023-01-03 05:00:00+00:00,380.82,-49,-18660.18,0,98030.69,sell
2023-01-30 05:00:00+00:00,400.59,48,19228.32,48,98030.69,buy
2023-03-14 04:00:00+00:00,391.73,-48,-18803.04,0,97605.41,sell
2023-04-14 04:00:00+00:00,412.46,47,19385.62,47,97605.41,buy
2023-08-28 04:00:00+00:00,442.76,-47,-20809.72,0,99029.51000000001,sell
2023-11-20 05:00:00+00:00,454.26,43,19533.18,43,99029.51000000001,buy
