date,portfolio_value
2022-03-01 05:00:00+00:00,100000.0
2022-03-02 05:00:00+00:00,99990.16
2022-03-03 05:00:00+00:00,99931.12000000001
2022-03-04 05:00:00+00:00,99899.96
2022-03-07 05:00:00+00:00,99912.26000000001
2022-03-08 05:00:00+00:00,99906.52
2022-03-09 05:00:00+00:00,100038.89000000001
2022-03-10 05:00:00+00:00,100086.63
2022-03-11 05:00:00+00:00,99982.47000000002
2022-03-14 04:00:00+00:00,99789.34000000001
2022-03-15 04:00:00+00:00,99847.93000000001
2022-03-16 04:00:00+00:00,100069.27000000002
2022-03-17 04:00:00+00:00,100203.89000000001
2022-03-18 04:00:00+00:00,100330.89000000001
2022-03-21 04:00:00+00:00,100272.47000000002
2022-03-22 04:00:00+00:00,100445.19000000002
2022-03-23 04:00:00+00:00,100422.33000000002
2022-03-24 04:00:00+00:00,100475.67000000001
2022-03-25 04:00:00+00:00,100368.99000000002
2022-03-28 04:00:00+00:00,100483.29000000001
2022-03-29 04:00:00+00:00,100681.41000000002
2022-03-30 04:00:00+00:00,100600.13000000002
2022-03-31 04:00:00+00:00,100556.93000000002
2022-04-01 04:00:00+00:00,100585.73000000001
2022-04-04 04:00:00+00:00,100816.13000000002
2022-04-05 04:00:00+00:00,100603.01000000002
2022-04-06 04:00:00+00:00,100346.69000000002
2022-04-07 04:00:00+00:00,100287.65000000002
2022-04-08 04:00:00+00:00,100235.99000000002
2022-04-11 04:00:00+00:00,100221.23000000001
2022-04-12 04:00:00+00:00,100147.43000000002
2022-04-13 04:00:00+00:00,100309.79000000002
2022-04-14 04:00:00+00:00,100049.63000000002
2022-04-18 04:00:00+00:00,99903.29000000002
2022-04-19 04:00:00+00:00,100315.21000000002
2022-04-20 04:00:00+00:00,100250.17000000001
2022-04-21 04:00:00+00:00,99962.67000000001
2022-04-22 04:00:00+00:00,99731.42000000001
2022-04-25 04:00:00+00:00,99825.17000000001
2022-04-26 04:00:00+00:00,99206.42000000001
2022-04-27 04:00:00+00:00,98856.42000000001
2022-04-28 04:00:00+00:00,99255.0
2022-04-29 04:00:00+00:00,98692.90000000001
2022-05-02 04:00:00+00:00,99040.38
2022-05-03 04:00:00+00:00,98846.20000000001
2022-05-04 04:00:00+00:00,99285.66
2022-05-05 04:00:00+00:00,98346.54
2022-05-06 04:00:00+00:00,97647.66
2022-05-09 04:00:00+00:00,95441.82
2022-05-10 04:00:00+00:00,95256.18
2022-05-11 04:00:00+00:00,94622.82
2022-05-12 04:00:00+00:00,95862.03
2022-05-13 04:00:00+00:00,97829.03
2022-05-16 04:00:00+00:00,97238.93
2022-05-17 04:00:00+00:00,97868.37
2022-05-18 04:00:00+00:00,97179.92
2022-05-19 04:00:00+00:00,97770.02
2022-05-20 04:00:00+00:00,97317.61
2022-05-23 04:00:00+00:00,97179.92
2022-05-24 04:00:00+00:00,96275.1
2022-05-25 04:00:00+00:00,97081.57
2022-05-26 04:00:00+00:00,97868.37
2022-05-27 04:00:00+00:00,98832.2
2022-05-31 04:00:00+00:00,98497.81
2022-06-01 04:00:00+00:00,98065.07
2022-06-02 04:00:00+00:00,99732.47
2022-06-03 04:00:00+00:00,99017.87
2022-06-06 04:00:00+00:00,99097.27
2022-06-07 04:00:00+00:00,99395.02
2022-06-08 04:00:00+00:00,99494.27
2022-06-09 04:00:00+00:00,98501.77
2022-06-10 04:00:00+00:00,97668.07
2022-06-13 04:00:00+00:00,96437.37
2022-06-14 04:00:00+00:00,96794.67
2022-06-15 04:00:00+00:00,97390.17
2022-06-16 04:00:00+00:00,96496.92
2022-06-17 04:00:00+00:00,97628.37
2022-06-21 04:00:00+00:00,98561.32
2022-06-22 04:00:00+00:00,99156.82
2022-06-23 04:00:00+00:00,100050.07
2022-06-24 04:00:00+00:00,101499.12
2022-06-27 04:00:00+00:00,100367.67
2022-06-28 04:00:00+00:00,99752.32
2022-06-29 04:00:00+00:00,99593.52
2022-06-30 04:00:00+00:00,99275.92
2022-07-01 04:00:00+00:00,99672.92
2022-07-05 04:00:00+00:00,101260.92
2022-07-06 04:00:00+00:00,100724.97
2022-07-07 04:00:00+00:00,101479.27
2022-07-08 04:00:00+00:00,101459.42
2022-07-11 04:00:00+00:00,100248.57
2022-07-12 04:00:00+00:00,100109.62
2022-07-13 04:00:00+00:00,99692.77
2022-07-14 04:00:00+00:00,98938.47
2022-07-15 04:00:00+00:00,99216.37
2022-07-18 04:00:00+00:00,99196.52
2022-07-19 04:00:00+00:00,99811.87
2022-07-20 04:00:00+00:00,101340.32
2022-07-21 04:00:00+00:00,102094.62
2022-07-22 04:00:00+00:00,100804.37
2022-07-25 04:00:00+00:00,100486.77
2022-07-26 04:00:00+00:00,99930.97
2022-07-27 04:00:00+00:00,101161.67
2022-07-28 04:00:00+00:00,101380.02
2022-07-29 04:00:00+00:00,101816.72
2022-08-01 04:00:00+00:00,102054.92
2022-08-02 04:00:00+00:00,102948.17
2022-08-03 04:00:00+00:00,103503.97
2022-08-04 04:00:00+00:00,103742.17
2022-08-05 04:00:00+00:00,104000.22
2022-08-08 04:00:00+00:00,100764.67
2022-08-09 04:00:00+00:00,99633.22
2022-08-10 04:00:00+00:00,100308.12
2022-08-11 04:00:00+00:00,99967.78
2022-08-12 04:00:00+00:00,100948.76000000001
2022-08-15 04:00:00+00:00,100948.76000000001
2022-08-16 04:00:00+00:00,100608.42
2022-08-17 04:00:00+00:00,99987.8
2022-08-18 04:00:00+00:00,99097.12
2022-08-19 04:00:00+00:00,97061.28
2022-08-22 04:00:00+00:00,95661.64
2022-08-23 04:00:00+00:00,95470.78
2022-08-24 04:00:00+00:00,95757.07
2022-08-25 04:00:00+00:00,96989.39
2022-08-26 04:00:00+00:00,95140.91
2022-08-29 04:00:00+00:00,94640.28
2022-08-30 04:00:00+00:00,94563.26000000001
2022-08-31 04:00:00+00:00,94293.69
2022-09-01 04:00:00+00:00,93328.61
2022-09-02 04:00:00+00:00,92950.97
2022-09-06 04:00:00+00:00,92447.45
2022-09-07 04:00:00+00:00,92909.01
2022-09-08 04:00:00+00:00,93545.45000000001
2022-09-09 04:00:00+00:00,94727.41
2022-09-12 04:00:00+00:00,95727.53
2022-09-13 04:00:00+00:00,93318.15
2022-09-14 04:00:00+00:00,94000.05
2022-09-15 04:00:00+00:00,95732.85
2022-09-16 04:00:00+00:00,94684.05
2022-09-19 04:00:00+00:00,95048.85
2022-09-20 04:00:00+00:00,93954.45
2022-09-21 04:00:00+00:00,94273.65
2022-09-22 04:00:00+00:00,92775.73000000001
2022-09-23 04:00:00+00:00,92916.16
2022-09-26 04:00:00+00:00,93524.69
2022-09-27 04:00:00+00:00,93992.79000000001
2022-09-28 04:00:00+00:00,95443.9
2022-09-29 04:00:00+00:00,96099.24
2022-09-30 04:00:00+00:00,96333.29000000001
2022-10-03 04:00:00+00:00,96848.20000000001
2022-10-04 04:00:00+00:00,97878.02
2022-10-05 04:00:00+00:00,97690.78
2022-10-06 04:00:00+00:00,97924.83
2022-10-07 04:00:00+00:00,96426.91
2022-10-10 04:00:00+00:00,96005.62
2022-10-11 04:00:00+00:00,95912.0
2022-10-12 04:00:00+00:00,96052.43
2022-10-13 04:00:00+00:00,96099.24
2022-10-14 04:00:00+00:00,93524.69
2022-10-17 04:00:00+00:00,95443.9
2022-10-18 04:00:00+00:00,96473.72
2022-10-19 04:00:00+00:00,95303.47
2022-10-20 04:00:00+00:00,95912.0
2022-10-21 04:00:00+00:00,97082.25
2022-10-24 04:00:00+00:00,96988.63
2022-10-25 04:00:00+00:00,98814.22
2022-10-26 04:00:00+00:00,98392.93
2022-10-27 04:00:00+00:00,98533.36
2022-10-28 04:00:00+00:00,98720.6
2022-10-31 04:00:00+00:00,99422.75
2022-11-01 04:00:00+00:00,98767.41
2022-11-02 04:00:00+00:00,96754.58
2022-11-03 04:00:00+00:00,96099.24
2022-11-04 04:00:00+00:00,95397.09
2022-11-07 05:00:00+00:00,91137.38
2022-11-08 05:00:00+00:00,92026.77
2022-11-09 05:00:00+00:00,90950.14000000001
2022-11-10 05:00:00+00:00,95148.4
2022-11-11 05:00:00+00:00,100046.37
2022-11-14 05:00:00+00:00,98074.45999999999
2022-11-15 05:00:00+00:00,99601.1
2022-11-16 05:00:00+00:00,97820.02
2022-11-17 05:00:00+00:00,95021.18
2022-11-18 05:00:00+00:00,93558.15
2022-11-21 05:00:00+00:00,92285.95000000001
2022-11-22 05:00:00+00:00,92476.78
2022-11-23 05:00:00+00:00,93430.93
2022-11-25 05:00:00+00:00,92858.44
2022-11-28 05:00:00+00:00,92095.12
2022-11-29 05:00:00+00:00,91586.23999999999
2022-11-30 05:00:00+00:00,94257.86
2022-12-01 05:00:00+00:00,96561.86
2022-12-02 05:00:00+00:00,95281.86
2022-12-05 05:00:00+00:00,92273.86
2022-12-06 05:00:00+00:00,90993.86
2022-12-07 05:00:00+00:00,91505.86
2022-12-08 05:00:00+00:00,91825.86
2022-12-09 05:00:00+00:00,91761.86
2022-12-12 05:00:00+00:00,92913.86
2022-12-13 05:00:00+00:00,94257.86
2022-12-14 05:00:00+00:00,93297.86
2022-12-15 05:00:00+00:00,90966.48000000001
2022-12-16 05:00:00+00:00,90212.21
2022-12-19 05:00:00+00:00,86440.86
2022-12-20 05:00:00+00:00,86166.58
2022-12-21 05:00:00+00:00,87469.41
2022-12-22 05:00:00+00:00,86040.57
2022-12-23 05:00:00+00:00,85802.43
2022-12-27 05:00:00+00:00,83500.41
2022-12-28 05:00:00+00:00,84056.07
2022-12-29 05:00:00+00:00,86926.41
2022-12-30 05:00:00+00:00,87100.37
2023-01-03 05:00:00+00:00,86839.43
2023-01-04 05:00:00+00:00,88492.05
2023-01-05 05:00:00+00:00,86230.57
2023-01-06 05:00:00+00:00,86926.41
2023-01-09 05:00:00+00:00,87796.21
2023-01-10 05:00:00+00:00,89535.81
2023-01-11 05:00:00+00:00,91971.25
2023-01-12 05:00:00+00:00,92232.19
2023-01-13 05:00:00+00:00,91797.29000000001
2023-01-17 05:00:00+00:00,92754.07
2023-01-18 05:00:00+00:00,91275.41
2023-01-19 05:00:00+00:00,89796.75
2023-01-20 05:00:00+00:00,92319.17
2023-01-23 05:00:00+00:00,95450.45
2023-01-24 05:00:00+00:00,92319.17
2023-01-25 05:00:00+00:00,94058.77
2023-01-26 05:00:00+00:00,94232.73000000001
2023-01-27 05:00:00+00:00,96929.11
2023-01-30 05:00:00+00:00,95363.47
2023-01-31 05:00:00+00:00,98929.65000000001
2023-02-01 05:00:00+00:00,102582.81
2023-02-02 05:00:00+00:00,109454.23000000001
2023-02-03 05:00:00+00:00,104409.39000000001
2023-02-06 05:00:00+00:00,103539.59000000001
2023-02-07 05:00:00+00:00,103713.55
2023-02-08 05:00:00+00:00,102756.77000000002
2023-02-09 05:00:00+00:00,100408.31000000001
2023-02-10 05:00:00+00:00,96581.19
2023-02-13 05:00:00+00:00,97450.99
2023-02-14 05:00:00+00:00,111454.77000000002
2023-02-15 05:00:00+00:00,119195.99
2023-02-16 05:00:00+00:00,115716.79000000001
2023-02-17 05:00:00+00:00,111280.81
2023-02-21 05:00:00+00:00,104931.27000000002
2023-02-22 05:00:00+00:00,103974.49
2023-02-23 05:00:00+00:00,102321.87000000001
2023-02-24 05:00:00+00:00,101626.03
2023-02-27 05:00:00+00:00,101104.15
2023-02-28 05:00:00+00:00,99451.53
2023-03-01 05:00:00+00:00,98146.83000000002
2023-03-02 05:00:00+00:00,100582.27
2023-03-03 05:00:00+00:00,103713.55
2023-03-06 05:00:00+00:00,103278.65
